filename,total_users,total_impressions,mean_impressions,total_clicks,mean_ctr,pct_invalid
nyt1.csv,458441,2295559,5.00731609956352,42449,0.018470530964068935,29.907010934885843
nyt2.csv,449935,2249486,4.999579939324569,41752,0.018462281120461527,29.909209107982264
nyt3.csv,440370,2200239,4.996341712650725,40630,0.018543790391154932,29.993641710379908
nyt4.csv,442857,2215850,5.003533872107701,40990,0.018410022023941233,30.084880672542152
nyt5.csv,370328,1851162,4.998709252338467,34131,0.01835163356986673,30.068209803201484
nyt6.csv,764510,3819108,4.995497769813345,70532,0.01848242737686832,30.00209284378229
nyt7.csv,452493,2262518,5.000117128883762,41870,0.01842171232451428,29.982784264065966
nyt8.csv,463196,2316326,5.000746983998135,42465,0.018341527517917247,30.118135735196333
nyt9.csv,459472,2296556,4.99825016540725,42585,0.018516103486818366,30.02098060382352
nyt10.csv,452766,2262917,4.997983505828618,41725,0.01843538733755329,30.0044614657461
nyt11.csv,478066,2387223,4.993500897365636,43802,0.01828484674446686,29.9544414369564
nyt12.csv,396308,1982087,5.001380239611615,36757,0.018525266887169205,30.11950301280822
nyt13.csv,786044,3927645,4.996724101958669,72342,0.018486073277715516,30.06193037539883
nyt14.csv,440338,2200912,4.998233175424333,40235,0.01838861862772213,30.044874619042645
nyt15.csv,437567,2188461,5.001430638050858,45065,0.020575569673063992,44.971627202234174
nyt16.csv,448917,2244258,4.999271580269849,46341,0.0205931369896762,44.90919256789117
nyt17.csv,445228,2225650,4.998899440286775,45860,0.020654932382457643,44.84309162945726
nyt18.csv,451763,2262073,5.007211745981853,46490,0.020487659180191794,44.937057705035606
nyt19.csv,421974,2111971,5.004978979747567,43934,0.0207265163474722,45.09803921568628
nyt20.csv,736380,3681762,4.999812596757109,75636,0.02057116052103794,44.93318666992585
nyt21.csv,455365,2273371,4.992414875978611,46846,0.020614276295334546,45.01795263140558
nyt22.csv,438092,2189746,4.998370205344996,45089,0.020540586585376292,44.9270929393826
nyt23.csv,428330,2143988,5.00545840823664,44155,0.020626750360905558,44.95622534027502
nyt24.csv,449898,2247924,4.996519211021165,46505,0.020657141243021756,44.88172874740497
nyt25.csv,430126,2150865,5.000546351534202,44003,0.020466784184011065,45.110270013902905
nyt26.csv,362234,1813177,5.0055406173909684,37157,0.020537664531746037,45.03497739030571
nyt27.csv,744788,3725292,5.001815281664044,76888,0.020672293786315205,45.01186914934183
nyt28.csv,444843,2223914,4.999323356779808,45547,0.020492106845567605,45.26181147056377
nyt29.csv,462841,2313441,4.998349325146217,47710,0.020602004755622672,44.976352570321126
nyt30.csv,452283,2260782,4.998600433799192,46359,0.020616236158585616,44.882739346824884
nyt31.csv,440112,2197805,4.993740229759697,40918,0.01861983104171222,30.064619914930745
